id;car_model;car_make
1494;SQ7;3
1495;SQ8;3
1496;e-tron Sportback;3
1497;745e;4
1498;840i;4
1499;M340i;4
1500;M8;4
1501;M850i;4
1502;Chiron Pur Sport;54
1503;Chiron Supersport;54
1504;Encore GX;5
1505;CT4;6
1506;CT5;6
1507;XT6;6
1508;488 Pista Spider;12
1509;F8 Spider;12
1510;F8 Tributo;12
1511;Palisade;47
1512;Venue;47
1513;Gladiator;19
1514;Telluride;53
1515;Corsair;20
1516;CX-30;23
1517;620R;61
1518;GLB-Class;24
1519;718 Spyder;32
1520;Taycan;32
1521;Model Y;60
1522;DBX;2
1523;A7 e;3
1524;A8 L e;3
1525;RS 6 Avant;3
1526;M440i;4
1527;Onix;7
1528;Grand Caravan;8
1529;812 GTS;12
1530;F164BCB;12
1531;Roma;12
1532;SF90 Stradale;12
1533;Bronco Sport;14
1534;Mustang Mach-E;14
1535;Kona Electric;47
1536;Grand Cherokee L;19
1537;GS-6;65
1538;Revero GT;65
1539;K5;53
1540;Seltos;53
1541;RAV4 Prime;37
1542;A8 L;3
1543;Q4;3
1544;RS e-tron GT;3
1545;e-tron GT;3
1546;745Le;4
1547;ALPINA B8;4
1548;M760Li;4
1549;i4;4
1550;iX;4
1551;Bolt EUV;7
1552;Silverado LTD;7
1553;296 GTB;12
1554;812 Competizione;12
1555;Portofino M;12
1556;SF90 Spider;12
1557;Maverick;14
1558;Hummer EV Pickup;15
1559;Elantra N;47
1560;Ioniq 5;47
1561;Kona N;47
1562;Santa Cruz;47
1563;QX55;49
1564;Carnival;53
1565;EV6;53
1566;New Range Rover;45
1567;Air;67
1568;MC20;22
1569;MX-30;23
1570;765LT;61
1571;ELVA;61
1572;EQB-Class;24
1573;EQS-Class Sedan;24
1574;535;28
1575;536;28
1576;589;28
1577;EDV;68
1578;R1S;68
1579;R1T;68
1580;RCV;68
1581;GT;69
1582;Corolla Cross;37
1583;GR86;37
1584;C40;39
1585;XM;4
1586;i7;4
1587;Lyriq;6
1588;Hornet;11
1589;296 GTS;12
1590;812 Competizione A;12
1591;Daytona SP3;12
1592;Monza SP1/SP2;12
1593;Purosangue;12
1594;Ocean;62
1595;GT MKII;14
1596;Ioniq 6;47
1597;Xcient;47
1598;RZ;50
1599;Grecale;22
1600;CX-50;23
1601;ARTURA;61
1602;EQE-Class SUV;24
1603;EQE-Class Sedan;24
1604;EQS-Class SUV;24
1605;ARIYA;26
1606;NISSAN Z;26
1607;537;28
1608;Cobra;69
1609;Solterra;35
1610;Semi;60
1611;Crown;37
1612;GR Corolla;37
1613;bZ4X;37
1614;Tonale;1
1615;DB12;2
1616;Valiant;2
1617;Valour;2
1618;750e;4
1619;i5;4
1620;Envista;5
1621;Blazer EV;7
1622;Equinox EV;7
1623;Silverado EV;7
1624;Suburban HD;7
1625;Traverse Limited;7
1626;Roma Spider;12
1627;SF90 XX Spider;12
1628;SF90 XX Stradale;12
1629;500e;13
1630;Cruise Origin AV;15
1631;Hummer EV SUV;15
1632;Sierra EV;15
1633;Prologue;16
1634;Grand Wagoneer L;19
1635;Wagoneer L;19
1636;Wagoneer S;19
1637;EV9;53
1638;Revuelto;48
1639;TX;50
1640;Emira;21
1641;Grancabrio;22
1642;CX-90;23
1643;750S;61
1644;CLE;24
1645;eSprinter;24
1646;548;28
1647;Spectre;33
1648;Cybertruck;60
1649;Grand Highlander;37
1650;Q6;3
1651;SQ6;3
1652;550e;4
1653;Celestiq;6
1654;Escalade IQ;6
1655;Optiq;6
1656;BrightDrop 400;7
1657;BrightDrop 400, BrightDrop 600;7
1658;BrightDrop 600;7
1659;12Cilindri;12
1660;12Cilindri Spider;12
1661;Mustang GTD;14
1662;IONIQ 5 N;47
1663;Gyesera;65
1664;Kaveya;65
1665;K4;53
1666;ELETRE;21
1667;Gravity;67
1668;CX-70;23
1669;GTS;61
1670;Kicks MPV;26
1671;Kicks Play;26
1672;Crown Signia;37
1673;EC40;39
1674;EX30;39
1675;EX40;39
1676;EX90;39
1677;228;4
1678;Vistiq;6
