id;car_model;car_make
363;Tercel;37
364;TR7;38
365;TR8;38
366;240 Series;39
367;260 Series;39
368;740 Series;39
369;760 Series;39
370;780 Series;39
371;S-10 Blazer;7
372;S-10 Pickup;7
373;Rampage;11
374;Ranger;14
375;S15 Pickup;15
376;Sentra;26
377;Cutlass Ciera;27
378;Firenza;27
379;J2000;31
380;Military Truck;7
381;Charger;11
382;Shelby Charger;11
383;Bronco II;14
384;190;24
385;260;24
386;350;24
387;420;24
388;500;24
389;Cordia;40
390;Starion;40
391;Tredia;40
392;300ZX;26
393;Scamp;30
394;Camry;37
395;Continental;41
396;Mulsanne;41
397;Celebrity;7
398;Daytona;8
399;FIFTH AVENUE;8
400;Stratus;8
401;Viper;8
402;Vision;8
403;Caravan;11
404;Daytona;11
405;Mini Ram;11
406;Royal Mini Ram Van;11
407;Aerostar;14
408;Tempo;14
409;Trooper;17
410;Grand Wagoneer;19
411;Topaz;25
412;405;29
413;Fiero;31
414;9000;34
415;4-Runner;37
416;Van;37
417;Integra;42
418;164;1
419;Milano;1
420;325/325e;4
421;535i;4
422;Somerset;5
423;Commercial Chassis;6
424;Astro Van;7
425;Beretta;7
426;Corsica;7
427;Geo Spectrum;7
428;Geo Sprint;7
429;Hearse/Limo Commercial Chassis;7
430;Nova;7
431;Charade;43
432;Raider;11
433;3.2 Mondial;12
434;308 Convertible;12
435;308GTB Quattrovalvole;12
436;308GTS Quattrovalvole;12
437;Testarossa;12
438;'34;14
439;Storm;44
440;Safari;15
441;Range Rover;45
442;Galant;40
443;Mighty Max;40
444;Mirage;40
445;Montero;40
446;SP;40
447;Micra;26
448;Cutlass Salon;27
449;TURISMO;30
450;Firefly;31
451;Grand AM;31
452;Sunbird;31
453;Sunburst;31
454;GL-10;35
455;XT;35
456;Forsa;36
457;MR2;37
458;Yugo 45;46
459;Yugo 55;46
460;Yugo 65;46
461;Legend;42
462;325/325eS;4
463;325ix;4
464;535i/535is;4
465;328;12
466;328 GTB;12
467;328 GTS;12
468;Mondial T;12
469;B6000;14
470;Taurus;14
471;Excel;47
472;Pony;47
473;Stellar;47
474;Comanche;19
475;Wrangler;19
476;323;23
477;560;24
478;Sable;25
479;Pathfinder;26
480;Stanza Wagon;26
481;RX;35
482;Samurai;36
483;Cab Behind Engine;39
484;Cab Over Engine HT;39
485;Cab Over Engine LT;39
486;F12 w/F7 Cab;39
487;F6 w/F7 Cab;39
488;102, GV;46
489;CL;42
490;NSX;42
491;RL;42
492;TL;42
493;Eight;41
494;325i;4
495;325iC;4
496;325iS;4
497;Allante;6
498;Brougham;6
499;GMT-400;7
500;R Conventional;7
501;V Conventional;7
502;Conquest;8
503;Shadow;8
504;Dakota;11
505;RAM 50;11
506;Shadow;11
507;Crown Victoria;14
508;GMT-400;15
509;Jimmy;15
510;R Conventional;15
511;V Conventional;15
512;NPR;17
513;Stylus;17
514;Trooper II;17
515;SPX;40
516;Space Wagon;40
517;Van;40
518;Van;26
519;Sundance;30
520;Safari;31
521;Tempest;31
522;Justy;35
523;Cargo Van;37
524;80;3
525;90;3
526;750iL;4
527;M3;4
528;M5;4
529;Reatta;5
530;Grand Caravan;11
531;A9522;14
532;Festiva;14
533;Probe;14
534;Vanden Plas;18
535;929;23
536;MX-6;23
537;Tracer;25
538;Precis;40
539;Grand Voyager;30
540;XT6;35
541;100;3
542;200;3
543;Turbo;41
544;325i/325is;4
545;525i;4
546;S6;7
547;S7;7
548;TC;8
549;Rocky;43
550;Spirit;11
551;Metro;44
552;Prizm;44
553;Spectrum;44
554;Sprint;44
555;Geo Tracker;15
556;S6;15
557;Sierra;15
558;Sonata;47
559;Amigo;17
560;FSR;17
561;FTR/FVR/EVR;17
562;NRR;17
563;Rodeo;17
564;Diablo;48
565;Roadster;48
566;MPV;23
567;MX-3;23
568;Sigma;40
569;Wagon;40
570;240SX;26
571;Eighty Eight (88);27
572;Sidekick;36
573;Sidekick Sport;36
574;Swift;36
575;Virage;2
576;Coupe;3
577;Coachbuilder;5
578;Roadmaster;5
579;Cutaway Chassis;7
580;Lumina;7
581;Lumina APV;7
582;Motorhome Chassis;7
583;Town and Country;8
584;348 tb;12
585;348 ts;12
586;A8513;14
587;L8513;14
588;Tracker;44
589;Magna Van;15
590;Civic Si;16
591;M30;49
592;Q45;49
593;ES;50
594;LS;50
595;Elan;21
596;MX-5;23
597;Protege;23
598;Eclipse;40
599;Axxess;26
600;Silhouette;27
601;Trans Sport;31
602;Legacy;35
603;Loyale;35
604;V8;3
605;850i;4
606;Park Avenue;5
607;60 Special;6
608;B7;7
609;P6S;7
610;Stealth;11
611;F40;12
612;Explorer;14
613;Sonoma;15
614;H1;51
615;Scoupe;47
616;G20;49
617;XJ12;18
618;Navajo;23
619;3000GT;40
620;Montero Sport;40
621;NX;26
622;Sentra Classic;26
623;Bravada;27
624;SC1;52
625;SC2;52
626;SL1;52
627;SL2;52
628;SL3;52
629;Previa;37
630;940 Series;39
631;960 Series;39
632;Vigor;42
633;Cabriolet;3
634;S4;3
635;Hi-Cube;7
636;Viper;11
637;Yukon;15
638;Elantra;47
639;SC;50
640;400;24
641;600;24
642;Diamante;40
643;Expo;40
644;Achieva;27
645;968;32
646;SVX;35
647;Paseo;37
648;Brooklands;41
649;740i;4
650;740iL;4
651;Concorde;8
652;Intrepid;8
653;Intrepid;11
654;512 TR;12
655;J30;49
656;Grand Cherokee;19
657;Liberty;19
658;Sephia;53
659;Defender;45
660;GS;50
661;Villager;25
662;Raider;40
663;Altima;26
664;Quest;26
665;Touring Limousine;33
666;SW1;52
667;SW2;52
668;Impreza;35
669;T100;37
670;850 Series;39
671;DB7;2
672;530i;4
673;540i;4
674;730i;4
675;EB110;54
676;LHS;8
677;Neon;11
678;Ram;11
679;348 Spider;12
680;Aspire;14
681;Passport;16
682;del Sol;16
683;Discovery;45
684;C-Class;24
685;E-Class;24
686;S-Class;24
687;SL-Class;24
688;Neon;30
689;SL;52
690;A6;3
691;S6;3
692;Hearse/Limo;7
693;Tahoe;7
694;Tracker;7
695;Cirrus;8
696;Concorde/LHS;8
697;Neon;8
698;PT Cruiser;8
699;Sebring;8
700;Voyager;8
701;Avenger;11
702;Caravan/Grand Caravan;11
703;Durango;11
704;Stratus;11
705;355 Berlinetta;12
706;355 GTS;12
707;355 Spider;12
708;456 GT;12
709;B800;14
710;Contour;14
711;E-450;14
712;P700;14
713;P800;14
714;Windstar;14
715;Yukon XL;15
716;Odyssey;16
717;Accent;47
718;FRR;17
719;XJR;18
720;Sportage;53
721;Millenia;23
722;M-Class;24
723;Mystique;25
724;Aurora;27
725;Flying Spur;33
726;Silver Dawn;33
727;Esteem;36
728;Avalon;37
729;Sienna;37
730;Tacoma;37
731;Tundra;37
732;SLX;42
733;A4;3
734;Azure;41
735;328i;4
736;328iC;4
737;328iS;4
738;Z3;4
739;F355;12
740;F50;12
741;Savana;15
742;I30;49
743;FTR/FVR;17
744;Hombre;17
745;Oasis;17
746;LX;50
747;LSS;27
748;Breeze;30
749;Sunfire;31
750;X-90;36
751;RAV4;37
752;A8;3
753;Catera;6
754;Hearse;6
755;Express;7
756;Venture;7
757;LANOS;55
758;LEGANZA;55
759;NUBIRA;55
760;550 Maranello;12
761;Expedition;14
762;L8501;14
763;L9501;14
764;Electric Vehicle;15
765;CR-V;16
766;EV Plus;16
767;Tiburon;47
768;QX4;49
769;F6;17
770;F7;17
771;XK8;18
772;Mountaineer;25
773;Regency;27
774;325;28
775;337;28
776;363;28
777;382;28
778;567;28
779;579;28
780;587;28
781;Prowler;30
782;Boxster;32
783;323iC;4
784;323is;4
785;Limousine;6
786;Geo Prizm;7
787;Metro;7
788;L8511;14
789;L9511;14
790;L9522;14
791;LT8511;14
792;LT9511;14
793;Rodeo/Amigo;17
794;XJ8;18
795;Sephia II/Spectra;53
796;Navigator;20
797;CL-Class;24
798;CLK-Class;24
799;SLK-Class;24
800;Altra;26
801;Frontier;26
802;Intrigue;27
803;Park Ward;33
804;Forester;35
805;C70;39
806;S70;39
807;S90;39
808;V70;39
809;V90;39
810;Arnage;41
811;323i;4
812;328Ci;4
813;Escalade;6
814;Alero;7
815;Silverado;7
816;300;8
817;F-450;14
818;F-550;14
819;Motorhome Chassis;14
820;ZX2;14
821;NQR;17
822;RX;50
823;G-Class;24
824;Altra-EV;26
825;Alero;27
826;Montana;31
827;Silver Seraph;33
828;9-3;34
829;9-5;34
830;Grand Vitara;36
831;Vitara;36
832;Camry Solara;37
833;S40;39
834;S80;39
835;8C Competizione Spider;1
836;TT;3
837;325Ci;4
838;750Li;4
839;X5;4
840;Grand Voyager;8
841;360 Modena;12
842;360 Spider;12
843;456 MGT;12
844;456 MGTA;12
845;Excursion;14
846;F-650;14
847;F-750;14
848;Focus;14
849;Insight;16
850;S2000;16
851;NPR/NPR-HD;17
852;VehiCross;17
853;S-Type;18
854;XK;18
855;Spectra;53
856;LS;20
857;Xterra;26
858;Aztek;31
859;LS;52
860;LS1;52
861;LS2;52
862;LW1;52
863;LW2;52
864;smart;56
865;Echo;37
866;Sequoia;37
867;V40;39
868;MDX;42
869;Vanquish;2
870;S8;3
871;allroad;3
872;330Ci;4
873;330i;4
874;750i;4
875;M3Ci;4
876;Z8;4
877;Incomplete;5
878;Rendezvous;5
879;3 ton;7
880;Prowler;8
881;550 Barchetta;12
882;Escape;14
883;Explorer Sport Trac;14
884;Santa Fe;47
885;XG300;47
886;Optima;53
887;Rio;53
888;Sedona;53
889;Sorento;53
890;IS;50
891;Tribute;23
892;Highlander;37
893;Prius;37
894;S60;39
895;RSX;42
896;325xi;4
897;330xi;4
898;745Li;4
899;745i;4
900;Avalanche;7
901;Trailblazer;7
902;575 M Maranello;12
903;B-750;14
904;E-550;14
905;Envoy;15
906;XG350;47
907;I35;49
908;Axiom;17
909;X-Type;18
910;XJ;18
911;147;48
912;Freelander;45
913;Blackwood;20
914;Coupe;22
915;Cooper;57
916;Lancer;40
917;Armada;26
918;Murano;26
919;Titan;26
920;Vue;52
921;C12;58
922;C8;58
923;D8/D12;58
924;Aerio;36
925;Grand Vitara XL-7;36
926;RS 6;3
927;525iA;4
928;530iA;4
929;540iA;4
930;760Li;4
931;Alpina;4
932;Z4;4
933;CTS;6
934;XLR;6
935;SSR;7
936;Caravan;8
937;Laganza V-car;55
938;Leganza V-200 & variants/derivatives;55
939;Enzo;12
940;Explorer Sport;14
941;Element;16
942;Pilot;16
943;H2;51
944;FX35;49
945;FX45;49
946;G35;49
947;M45;49
948;QX56;49
949;Ascender;17
950;T6F;17
951;T7F;17
952;T8F;17
953;GX;50
954;Aviator;20
955;57;59
956;62;59
957;Mazda6;23
958;Lancer Evolution;40
959;Outlander;40
960;350Z;26
961;Vibe;31
962;Cayenne;32
963;Ion;52
964;L200;52
965;L300;52
966;LW200;52
967;LW300;52
968;Baja;35
969;XL7;36
970;Corolla Matrix;37
971;XC90;39
972;TSX;42
973;ARMOURED ARNAGE;41
974;545i;4
975;645Ci;4
976;645i;4
977;X3;4
978;Rainier;5
979;SRX;6
980;Aveo;7
981;Colorado;7
982;Epica;7
983;Malibu Classic;7
984;Matiz;7
985;Optra;7
986;U100;7
987;Crossfire;8
988;Pacifica;8
989;Challenge Stradale;12
990;F-150 Heritage;14
991;Freestar;14
992;GT;14
993;Canyon;15
994;FCX Clarity;16
995;Amanti;53
996;Mazda3;23
997;RX-8;23
998;SLR McLaren;24
999;Marauder;25
1000;Monterey;25
1001;Cooper Convertible;57
1002;Endeavor;40
1003;Lancer SportBack;40
1004;GTO;31
1005;Phantom;33
1006;Forenza;36
1007;Verona;36
1008;Scion xA;37
1009;Scion xB;37
1010;XC70;39
1011;DB9;2
1012;760i;4
1013;Veyron;54
1014;Allure;5
1015;LaCrosse;5
1016;Terraza;5
1017;STS;6
1018;Cobalt;7
1019;Equinox;7
1020;Uplander;7
1021;300C;8
1022;Magnum;11
1023;Sprinter;11
1024;612 Scaglietti;12
1025;Five Hundred;14
1026;Freestyle;14
1027;Tucson;47
1028;H-Series;17
1029;NQR/NRR;17
1030;Gallardo;48
1031;Murcielago;48
1032;LR3;45
1033;Elise;21
1034;CLS-Class;24
1035;Mariner;25
1036;Montego;25
1037;X-Trail;26
1038;G6;31
1039;Montana SV6;31
1040;Pursuit;31
1041;Wave;31
1042;9-2X;34
1043;9-7X;34
1044;Relay;52
1045;Outback;35
1046;Reno;36
1047;Scion tC;37
1048;V50;39
1049;Vantage;2
1050;A3;3
1051;525xi;4
1052;530xi;4
1053;550i;4
1054;650i;4
1055;Lucerne;5
1056;DTS;6
1057;HHR;7
1058;Caliber;11
1059;599 GTB;12
1060;F430 Coupe;12
1061;F430 Spider;12
1062;Fusion;14
1063;Ridgeline;16
1064;H3;51
1065;Azera;47
1066;Entourage;47
1067;M35;49
1068;i-280;17
1069;i-350;17
1070;Commander;19
1071;Compass;19
1072;Range Rover Sport;45
1073;Mark LT;20
1074;Zephyr;20
1075;Mazda5;23
1076;GL-Class;24
1077;R-Class;24
1078;Milan;25
1079;Solstice;31
1080;Torrent;31
1081;Cayman;32
1082;B9 Tribeca;35
1083;RDX;42
1084;Q7;3
1085;RS 4;3
1086;328xi;4
1087;335i;4
1088;335xi;4
1089;Enclave;5
1090;Aspen;8
1091;Nitro;11
1092;430 Scuderia;12
1093;599 GTB Fiorano;12
1094;Edge;14
1095;Expedition MAX;14
1096;Acadia;15
1097;Fit;16
1098;Veracruz;47
1099;i-290;17
1100;i-370;17
1101;Patriot;19
1102;Rondo;53
1103;MKX;20
1104;MKZ;20
1105;340R;21
1106;Eleven;21
1107;Europa;21
1108;MEL;21
1109;Monaco;21
1110;Monza;21
1111;Spa;21
1112;CX-7;23
1113;CX-9;23
1114;Versa;26
1115;G5;31
1116;Matiz;31
1117;Aura;52
1118;Outlook;52
1119;Sky;52
1120;SX4;36
1121;FJ Cruiser;37
1122;Yaris;37
1123;C30;39
1124;A5;3
1125;R8;3
1126;S5;3
1127;128i;4
1128;135i;4
1129;528xi;4
1130;535xi;4
1131;X6;4
1132;Kalos;7
1133;Spark;7
1134;G2X;55
1135;430 Scuderia Spider;12
1136;F430;12
1137;Taurus X;14
1138;EX35;49
1139;G37;49
1140;LR2;45
1141;2-Eleven;21
1142;Eagle;21
1143;Exige;21
1144;Granturismo;22
1145;Clubman;57
1146;Rogue;26
1147;G3;31
1148;G8;31
1149;Astra;52
1150;Fortwo;56
1151;Roadster;60
1152;Scion xD;37
1153;DBS;2
1154;Q5;3
1155;TTS;3
1156;Roll Royce Silver Seraph;41
1157;Rolls-Royce Park Ward;41
1158;335d;4
1159;Orlando;7
1160;Traverse;7
1161;Journey;11
1162;Flex;14
1163;Terrain;15
1164;H3T;51
1165;Genesis;47
1166;FX50;49
1167;XF;18
1168;Borrego;53
1169;MKS;20
1170;540C;61
1171;570GT;61
1172;570S;61
1173;625C;61
1174;650S;61
1175;675LT;61
1176;MP4-12C;61
1177;P1;61
1178;Hardtop;57
1179;370Z;26
1180;Cube;26
1181;GT-R;26
1182;Equator;36
1183;FCHV-adv;37
1184;Venza;37
1185;ZDX;42
1186;Rapide;2
1187;750Lxi;4
1188;750xi;4
1189;Captiva Sport;7
1190;Cruze;7
1191;458 Italia;12
1192;458 Speciale;12
1193;458 Speciale Spider;12
1194;458 Spider;12
1195;599 GTO;12
1196;California;12
1197;California T;12
1198;F12 Berlinetta;12
1199;FF;12
1200;La Ferrari;12
1201;Transit Connect;14
1202;Accord Crosstour;16
1203;Elantra Touring;47
1204;Genesis Coupe;47
1205;Forte;53
1206;Soul;53
1207;LR4;45
1208;HS;50
1209;MKT;20
1210;Evora;21
1211;GLK-Class;24
1212;Sprinter;24
1213;Panamera;32
1214;Ghost;33
1215;Kizashi;36
1216;XC60;39
1217;V12 Vantage;2
1218;1M;4
1219;335is;4
1220;740Li;4
1221;Caprice Police Vehicle;7
1222;Volt;7
1223;200;8
1224;Freemont;13
1225;Karma;62
1226;Nina;62
1227;Fiesta;14
1228;CR-Z;16
1229;Equus;47
1230;G25;49
1231;M37;49
1232;M56;49
1233;Aventador;48
1234;CT;50
1235;Mazda2;23
1236;B-Class;24
1237;SLS-Class;24
1238;Countryman;57
1239;Outlander Sport;40
1240;RVR;40
1241;Juke;26
1242;Leaf;26
1243;NV;26
1244;9-4x;34
1245;Scion iQ;37
1246;A7;3
1247;640i;4
1248;650xi;4
1249;750Li / ALPINA B7;4
1250;750Lxi / ALPINA B7;4
1251;750i / ALPINA B7;4
1252;750xi / ALPINA B7;4
1253;ActiveE;4
1254;ActiveHybrid 5;4
1255;X1;4
1256;Verano;5
1257;Sonic;7
1258;500;13
1259;Crosstour;16
1260;Veloster;47
1261;M35h;49
1262;Range Rover Evoque;45
1263;LFA;50
1264;ML-Class;24
1265;Cooper Coupe;57
1266;Cooper Roadster;57
1267;i-MiEV;40
1268;3500;63
1269;XV CrossTrek;35
1270;Model S;60
1271;Prius C;37
1272;Prius Plug-in;37
1273;Prius V;37
1274;C70 / C30;39
1275;ILX;42
1276;MV-1;64
1277;A4 allroad;3
1278;RS 5;3
1279;S7;3
1280;TT RS;3
1281;Encore;5
1282;ATS;6
1283;XTS;6
1284;Trax;7
1285;Dart;11
1286;C-Max;14
1287;FX37;49
1288;JX35;49
1289;CX-5;23
1290;Paceman;57
1291;NV200;26
1292;1500;63
1293;2500;63
1294;4000;63
1295;4500;63
1296;5500;63
1297;Cargo Van;63
1298;Fortwo Electric Drive;56
1299;BRZ;35
1300;Scion FR-S;37
1301;RLX;42
1302;4C;1
1303;RS 7;3
1304;SQ5;3
1305;Flying Spur;41
1306;228i;4
1307;328d;4
1308;335;4
1309;428i;4
1310;435i;4
1311;535d;4
1312;ActiveHybrid 3;4
1313;ActiveHybrid 7;4
1314;M235i;4
1315;i3;4
1316;i8;4
1317;ELR;6
1318;Impala Limited;7
1319;SS;7
1320;500L;13
1321;Q50;49
1322;Q60;49
1323;Q70;49
1324;QX50;49
1325;QX60;49
1326;QX70;49
1327;QX80;49
1328;F-TYPE;18
1329;Cadenza;53
1330;Ghibli;22
